合同造价专员,中国核工业集团有限公司-中原新华水利水电投资有限公司,面议,上海,能源/矿产环保,2020.07.13-2020.10.31,本科及以上,若干
安全运营管理专员,中国核工业集团有限公司-中原新华水利水电投资有限公司,面议,上海,能源/矿产环保,2020.07.13-2020.10.31,本科及以上,若干
其他专业,中国核工业集团有限公司-海南核电有限公司,面议,海南省-昌江黎族自治县,能源/矿产环保,2020.07.13-2020.10.31,专科及以上,若干
光学类专业,中国核工业集团有限公司-中核四0四有限公司,面议,甘肃省-嘉峪关,能源/矿产环保,2020.07.13-2020.10.31,本科及以上,若干
热能动力类,中国核工业集团有限公司-海南核电有限公司,面议,海南省-昌江黎族自治县,能源/矿产环保,2020.07.13-2020.10.31,专科及以上,若干
电站运营管理专员,中国核工业集团有限公司-中原新华水利水电投资有限公司,面议,上海,能源/矿产环保,2020.07.13-2020.10.31,本科及以上,若干
材料类,中国核工业集团有限公司-中核四0四有限公司,面议,甘肃省-嘉峪关,能源/矿产环保,2020.07.13-2020.10.31,博士研究生,若干
核专业,中国核工业集团有限公司-海南核电有限公司,面议,海南省-昌江黎族自治县,能源/矿产环保,2020.07.13-2020.10.31,本科,若干
材料类专业,中国核工业集团有限公司-中核四0四有限公司,面议,甘肃省-嘉峪关,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
仪控类,中国核工业集团有限公司-海南核电有限公司,面议,海南省-昌江黎族自治县,能源/矿产环保,2020.07.13-2020.10.31,本科,若干
电气类,中国核工业集团有限公司-海南核电有限公司,面议,海南省-昌江黎族自治县,能源/矿产环保,2020.07.13-2020.10.31,专科及以上,若干
机械类,中国核工业集团有限公司-海南核电有限公司,面议,海南省-昌江黎族自治县,能源/矿产环保,2020.07.13-2020.10.31,专科及以上,若干
电气类,中国核工业集团有限公司-中核四0四有限公司,面议,甘肃省-嘉峪关,能源/矿产环保,2020.07.13-2020.10.31,本科及以上,若干
机械类,中国核工业集团有限公司-中核四0四有限公司,面议,甘肃省-嘉峪关,能源/矿产环保,2020.07.13-2020.10.31,本科及以上,若干
市场开发专员,中国核工业集团有限公司-中原新华水利水电投资有限公司,面议,河南省-郑州,能源/矿产环保,2020.07.13-2020.10.31,本科及以上,若干
业务职能类岗位,中国核工业集团有限公司-中核霞浦核电有限公司,面议,福建省-宁德,能源/矿产环保,2020.07.13-2020.10.31,本科及以上,若干
技术类岗位,中国核工业集团有限公司-中核霞浦核电有限公司,面议,福建省-宁德,能源/矿产环保,2020.07.13-2020.10.31,本科及以上,若干
